Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A14008_001
"060371013002","15000US060371013002","Block Group 2","Block Group 2, Census Tract 1013, Los Angeles County, California","ca","150","00","ACSSF","0014313",,,,,"06","037",,,,"101300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94693.9546599496
"060371013003","15000US060371013003","Block Group 3","Block Group 3, Census Tract 1013, Los Angeles County, California","ca","150","00","ACSSF","0014314",,,,,"06","037",,,,"101300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91260.7973421927
"060371013004","15000US060371013004","Block Group 4","Block Group 4, Census Tract 1013, Los Angeles County, California","ca","150","00","ACSSF","0014315",,,,,"06","037",,,,"101300","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108903.610108303
"060371014001","15000US060371014001","Block Group 1","Block Group 1, Census Tract 1014, Los Angeles County, California","ca","150","00","ACSSF","0014316",,,,,"06","037",,,,"101400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75899.4397759104
"060371014002","15000US060371014002","Block Group 2","Block Group 2, Census Tract 1014, Los Angeles County, California","ca","150","00","ACSSF","0014317",,,,,"06","037",,,,"101400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97176.2264150943
"060371014003","15000US060371014003","Block Group 3","Block Group 3, Census Tract 1014, Los Angeles County, California","ca","150","00","ACSSF","0014318",,,,,"06","037",,,,"101400","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88800.4273504273
"060371021031","15000US060371021031","Block Group 1","Block Group 1, Census Tract 1021.03, Los Angeles County, California","ca","150","00","ACSSF","0014319",,,,,"06","037",,,,"102103","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96020.9537572254
"060371021041","15000US060371021041","Block Group 1","Block Group 1, Census Tract 1021.04, Los Angeles County, California","ca","150","00","ACSSF","0014320",,,,,"06","037",,,,"102104","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114685.616438356
"060371021042","15000US060371021042","Block Group 2","Block Group 2, Census Tract 1021.04, Los Angeles County, California","ca","150","00","ACSSF","0014321",,,,,"06","037",,,,"102104","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94636.7231638418
"060371021051","15000US060371021051","Block Group 1","Block Group 1, Census Tract 1021.05, Los Angeles County, California","ca","150","00","ACSSF","0014322",,,,,"06","037",,,,"102105","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78738.4879725086
