Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_B04001_001,SE_B04001_002,SE_B04001_003,SE_B04001_004,SE_B04001_005,SE_B04001_006,SE_B04001_007,SE_B04001_008,SE_B04001_009,SE_B04001_010,PCT_SE_B04001_002,PCT_SE_B04001_003,PCT_SE_B04001_004,PCT_SE_B04001_005,PCT_SE_B04001_006,PCT_SE_B04001_007,PCT_SE_B04001_008,PCT_SE_B04001_009,PCT_SE_B04001_010
"060379007012","15000US060379007012","Block Group 2","Block Group 2, Census Tract 9007.01, Los Angeles County, California","ca","150","00","ACSSF","0020427",,,,,"06","037",,,,"900701","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004,467,210,212,0,31,14,0,0,537,46.51,20.92,21.12,0,3.09,1.39,0,0,53.49
"060379007013","15000US060379007013","Block Group 3","Block Group 3, Census Tract 9007.01, Los Angeles County, California","ca","150","00","ACSSF","0020428",,,,,"06","037",,,,"900701","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969,748,565,137,0,38,0,0,8,221,77.19,58.31,14.14,0,3.92,0,0,0.83,22.81
"060379007014","15000US060379007014","Block Group 4","Block Group 4, Census Tract 9007.01, Los Angeles County, California","ca","150","00","ACSSF","0020429",,,,,"06","037",,,,"900701","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323,743,402,247,0,12,0,0,82,580,56.16,30.39,18.67,0,0.91,0,0,6.2,43.84
"060379007031","15000US060379007031","Block Group 1","Block Group 1, Census Tract 9007.03, Los Angeles County, California","ca","150","00","ACSSF","0020430",,,,,"06","037",,,,"900703","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1269,916,272,411,0,134,0,0,99,353,72.18,21.43,32.39,0,10.56,0,0,7.8,27.82
"060379007032","15000US060379007032","Block Group 2","Block Group 2, Census Tract 9007.03, Los Angeles County, California","ca","150","00","ACSSF","0020431",,,,,"06","037",,,,"900703","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1406,1037,421,589,0,19,0,0,8,369,73.76,29.94,41.89,0,1.35,0,0,0.57,26.24
"060379007033","15000US060379007033","Block Group 3","Block Group 3, Census Tract 9007.03, Los Angeles County, California","ca","150","00","ACSSF","0020432",,,,,"06","037",,,,"900703","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1674,767,361,332,0,37,0,0,37,907,45.82,21.57,19.83,0,2.21,0,0,2.21,54.18
"060379007041","15000US060379007041","Block Group 1","Block Group 1, Census Tract 9007.04, Los Angeles County, California","ca","150","00","ACSSF","0020433",,,,,"06","037",,,,"900704","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,1651,477,864,8,267,0,0,35,356,82.26,23.77,43.05,0.4,13.3,0,0,1.74,17.74
"060379007042","15000US060379007042","Block Group 2","Block Group 2, Census Tract 9007.04, Los Angeles County, California","ca","150","00","ACSSF","0020434",,,,,"06","037",,,,"900704","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903,729,216,415,0,36,38,0,24,174,80.73,23.92,45.96,0,3.99,4.21,0,2.66,19.27
"060379007051","15000US060379007051","Block Group 1","Block Group 1, Census Tract 9007.05, Los Angeles County, California","ca","150","00","ACSSF","0020435",,,,,"06","037",,,,"900705","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1573,1351,936,305,0,33,0,24,53,222,85.89,59.5,19.39,0,2.1,0,1.53,3.37,14.11
"060379007052","15000US060379007052","Block Group 2","Block Group 2, Census Tract 9007.05, Los Angeles County, California","ca","150","00","ACSSF","0020436",,,,,"06","037",,,,"900705","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1877,1156,756,295,0,43,0,0,62,721,61.59,40.28,15.72,0,2.29,0,0,3.3,38.41
"060379007053","15000US060379007053","Block Group 3","Block Group 3, Census Tract 9007.05, Los Angeles County, California","ca","150","00","ACSSF","0020437",,,,,"06","037",,,,"900705","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530,273,90,43,106,0,0,0,34,257,51.51,16.98,8.11,20,0,0,0,6.42,48.49
"060379008031","15000US060379008031","Block Group 1","Block Group 1, Census Tract 9008.03, Los Angeles County, California","ca","150","00","ACSSF","0020438",,,,,"06","037",,,,"900803","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2248,1131,598,423,0,30,0,0,80,1117,50.31,26.6,18.82,0,1.33,0,0,3.56,49.69
"060379008032","15000US060379008032","Block Group 2","Block Group 2, Census Tract 9008.03, Los Angeles County, California","ca","150","00","ACSSF","0020439",,,,,"06","037",,,,"900803","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976,1158,713,225,0,210,0,0,10,818,58.6,36.08,11.39,0,10.63,0,0,0.51,41.4
